oldURI	newURI
vanguardngr_columns_%e2%80%98fashola-has-been-here%e2%80%99.html	0
vanguardngr_columns_%e2%80%98hegemonists%e2%80%98-within-the-country-called-nigeria.html	1
vanguardngr_columns_%e2%80%98how-are-you-nigerians%e2%80%99.html	2
vanguardngr_columns_%e2%80%98i-am-humbled%e2%80%99.html	3
vanguardngr_columns_%e2%80%98occupy-wall-street%e2%80%99-cometh-the-western-spring.html	4
vanguardngr_columns_%e2%80%98our-electoral-process-requires-total-overhaul%e2%80%99.html	5
vanguardngr_columns_%e2%80%98siasia-not-a-coach%e2%80%99.html	6
vanguardngr_columns_%e2%80%98we-came-we-saw-he-died.html	7
vanguardngr_columns_%e2%80%98wetin%e2%80%99-concern-nlctuc-with-forex-market-2-2.html	8
vanguardngr_columns_%e2%80%98wetin%e2%80%99-concern-nlctuc-with-forex-market.html	9
vanguardngr_columns_%e2%80%9c-come-were-you-the-referee%e2%80%9d.html	10
vanguardngr_columns_%e2%80%9ca-little-to-the-right%e2%80%9d.html	11
vanguardngr_columns_%e2%80%9cal-waqia-the-inevitable-event%e2%80%9d.html	12
vanguardngr_columns_%e2%80%9carise-o-compatriots%e2%80%a6%e2%80%9d-booooo.html	13
vanguardngr_columns_%e2%80%9cmj%e2%80%9d-and-fela-helluva-road-halliburton-%e2%80%9ca-go-go%e2%80%9d.html	14
vanguardngr_columns_%e2%80%9cnaira-is-overvalued%e2%80%9d-says-imf.html	15
vanguardngr_columns_%e2%80%9cnorthern-unity%e2%80%9d-won%e2%80%99t-stand.html	16
vanguardngr_columns_%e2%80%9cthis-is-big-brother%e2%80%a6-gov-fashola-come-to-the-diary-room%e2%80%a6%e2%80%9d.html	17
vanguardngr_columns_%e2%80%9cumoru-are-you-dead%e2%80%9d.html	18
vanguardngr_columns_%e2%80%a6%e2%80%a6of-earrings-nyanga-football-and-yakubu.html	19
vanguardngr_columns_%e2%80%a6-and-now-they-are-four.html	20
vanguardngr_columns_%e2%80%a6-no-hiding-place-in-2010.html	21
vanguardngr_columns_%e2%80%a6labours-of-our-heroes-past.html	22
vanguardngr_columns_10-best-steps-smartphone-savvy.html	23
vanguardngr_columns_10-minutes-with-samatta-nbwana-ali.html	24
vanguardngr_columns_10-years-younger-in-london.html	25
vanguardngr_columns_100-aircraft-witchcraft.html	26
vanguardngr_columns_100-days-of-world-cup.html	27
vanguardngr_columns_100-years-after-ibadan-remembers-adelabu-penkelemeesi.html	28
vanguardngr_columns_101-cogent-reasons-why-jonathan-must-be-re-elected.html	29
vanguardngr_columns_123506.html	30
vanguardngr_columns_125512.html	31
vanguardngr_columns_135152.html	32
vanguardngr_columns_14-nigerian-banks-enjoy-7bn-reserve.html	33
vanguardngr_columns_14-nigerian-banks-to-enjoy-7bn-reserve-2.html	34
vanguardngr_columns_14-nigerian-banks-to-enjoy-7bn-reserve.html	35
vanguardngr_columns_14-year-old-36-million-amuro-water-scheme-vandalised.html	36
vanguardngr_columns_15-sur-fire-ways-to-make-yourself-unhappy.html	37
vanguardngr_columns_15-years-talking-deaf.html	38
vanguardngr_columns_151271-disadvantaged-children-benefit-as-usaid-arfh-partner-on-dev-project.html	39
vanguardngr_columns_15b-lndian-loan-little-meat-bone.html	40
vanguardngr_columns_16-american-massacres-and-the-dollar.html	41
vanguardngr_columns_166660.html	42
vanguardngr_columns_1967-metaphor-military-slaughter.html	43
vanguardngr_columns_1bn-bh-loan-supplementary-appropriation.html	44
vanguardngr_columns_1bn-eca-deduction-decimation-boko-haram-rose-moses.html	45
vanguardngr_columns_1st-100-days-in-office.html	46
vanguardngr_columns_2-point-agenda-for-mr-president.html	47
vanguardngr_columns_20-billion-go-away.html	48
vanguardngr_columns_20-year-old-emerges-winner-queen-nigeria-pageant.html	49
vanguardngr_columns_2011-and-2015-what-transformation-agenda-entails.html	50
vanguardngr_columns_2011-another-budget-of-despair-2-2.html	51
vanguardngr_columns_2011-another-budget-of-despair.html	52
vanguardngr_columns_2011-anti-corruption-war-in-nigeria-a-lost-battle.html	53
vanguardngr_columns_2011-elections-politics-with-bitterness-1.html	54
vanguardngr_columns_2011-elections-politics-with-bitterness-2.html	55
vanguardngr_columns_2011-lets-make-it-the-dawn-of-a-new-era.html	56
vanguardngr_columns_2011-much-haste-less-speed.html	57
vanguardngr_columns_2011-no-time-for-a-long-debate.html	58
vanguardngr_columns_2011-poll-already-being-rigged.html	59
vanguardngr_columns_2011-presidency-scaling-down-the-absurdities.html	60
vanguardngr_columns_2011-presidency-where-are-the-alternatives.html	61
vanguardngr_columns_2011-speeding-to-crash.html	62
vanguardngr_columns_2011-there-is-real-cause-to-worry.html	63
vanguardngr_columns_2012-a-year-of-rude-shocks-for-many.html	64
vanguardngr_columns_2012-better-parenting-better-nigeria.html	65
vanguardngr_columns_2012-don-go.html	66
vanguardngr_columns_2013-our-year-of-infinite-possibilities.html	67
vanguardngr_columns_2013-time-to-put-the-masses-first.html	68
vanguardngr_columns_2014-nigerias-year-deceit-self-denial.html	69
vanguardngr_columns_2014-nigerias-year-insurgency.html	70
vanguardngr_columns_2014-old-new-strategy.html	71
vanguardngr_columns_2014-pension-act-yet-uhuru.html	72
vanguardngr_columns_2014-world-cup-nigeria-set-scotland-friendly.html	73
vanguardngr_columns_2014-year.html	74
vanguardngr_columns_2014.html	75
vanguardngr_columns_2015-a-tale-of-terrorism-immigrants-and-disasters.html	76
vanguardngr_columns_2015-bogus-oracle-at-work-again-in-benin.html	77
vanguardngr_columns_2015-conversations.html	78
vanguardngr_columns_2015-dateline-first-things-first.html	79
vanguardngr_columns_2015-elections-dilemma-postponement.html	80
vanguardngr_columns_2015-elections-impact-of-regional-party-alliances-and-ethnic-bloc-voting-on-results.html	81
vanguardngr_columns_2015-elections-in-nigeria-may-fail.html	82
vanguardngr_columns_2015-elections-no-interim-but-genuine-unity-govt.html	83
vanguardngr_columns_2015-elections-some-vital-national-issues-revisited.html	84
vanguardngr_columns_2015-elections-the-card-reader-and-ballot-box-stuffing.html	85
vanguardngr_columns_2015-elections-unresolved-issues.html	86
vanguardngr_columns_2015-elections-who-will-win-should-win.html	87
vanguardngr_columns_2015-electionsprobable-political-and-economical-implications.html	88
vanguardngr_columns_2015-electionssome-specific-issues-cleverly-avoided.html	89
vanguardngr_columns_2015-nigerians-decide.html	90
vanguardngr_columns_2015-or-something-like-it.html	91
